"SampleN","StationID","BenSampID","RepNum","Collection Date","Sample Comments","Collected By","Field Team","Entered By","Taxonomist","Entered Date","Gradient","Target Count","Season"
2,"2-JKS023.61","JKS4993",1,2013-08-22 11:30:00,NA,"GEORGEJ DEVLIN","gjd","RDM","RICHARD (DREW)D MILLER",2014-02-06 00:00:00,"Boatable",200,"Fall"
2,"2-JKS006.67","JKS5038",1,2013-08-21 09:30:00,NA,"GEORGEJ DEVLIN","GJD","RDM","RICHARD (DREW)D MILLER",2014-02-19 00:00:00,"Boatable",200,"Fall"
2,"2-CRG015.50","CRG6464",1,2014-10-27 10:15:00,NA,"GEORGEJ DEVLIN","GJD","GJD","GEORGEJ DEVLIN",2015-02-25 00:00:00,"Riffle",200,"Fall"
2,"4ASRE031.00","SRE9009",1,2016-08-23 12:45:00,"Most specimens poorly preserved.  Preservation affected by amount of algae/didymo in sample.","GEORGEJ DEVLIN","GJD","GJD","GEORGEJ DEVLIN",2017-03-16 00:00:00,"Boatable",200,"Fall"
2,"1ACUB011.25","CUB0095",1,2016-08-31 09:30:00,"Sewage pipe crossing stream. Newgrowth in riparian zone, helping w/ bank stablization. Cropped acces path to sewer line. Improved vegitation growth in stream.","BRETT STERN","LDF/BDS","BS","BRETT STERN",2017-02-13 00:00:00,"Riffle",200,"Fall"
2,"2-JKS033.06","JKS9286",1,2016-08-29 12:00:00,NA,"GEORGEJ DEVLIN","gjd","RDM","RICHARD (DREW)D MILLER",2017-05-19 00:00:00,"Riffle",200,"Fall"
2,"2-JKS006.67","JKS7823",1,2015-08-26 10:20:00,NA,"GEORGEJ DEVLIN","GJD","GJD","GEORGEJ DEVLIN",2016-03-15 00:00:00,"Riffle",200,"Fall"
2,"2-JKS023.61","JKS8498",1,2015-08-25 11:30:00,NA,"GEORGEJ DEVLIN","GJD","RDM","RICHARD (DREW)D MILLER",2016-10-04 00:00:00,"Boatable",200,"Fall"
2,"2-JKS006.67","JKS10693",1,2017-08-24 11:00:00,NA,"GEORGEJ DEVLIN","GJD, LB","GJD","GEORGEJ DEVLIN",2018-07-06 00:00:00,"Boatable",200,"Fall"
2,"2-JKS018.68","JKS10699",1,2017-08-23 16:30:00,NA,"GEORGEJ DEVLIN","GJD","GJD","GEORGEJ DEVLIN",2018-07-12 00:00:00,"Boatable",200,"Fall"
2,"8-SAR034.04","SAR034.04",1,2017-09-28 10:00:00,"Clumps of algae in pools. Severe bank erosion and sediment deposition. Large woody debris piles.","LILLYD FRAZER","LFE","BS","BRETT STERN",2018-04-18 00:00:00,"MACS",200,"Fall"
2,"2-JKS023.61","JKS10700",1,2017-08-23 09:30:00,"N= 166, empty midge retreats, pupae and many worm pieces possibly counted during sorting.  Sample reduced due to high number in first grid.","GEORGEJ DEVLIN","GJD","GJD","GEORGEJ DEVLIN",2018-07-12 00:00:00,"Boatable",200,"Fall"
2,"4ASRE038.57","SRE10513",1,2017-08-28 10:45:00,NA,"GEORGEJ DEVLIN","GJD","RDM","RICHARD (DREW)D MILLER",2018-04-20 00:00:00,"Riffle",200,"Fall"
2,"9-BIC002.81","BIC12140",1,2019-05-15 11:30:00,NA,"GEORGEJ DEVLIN","GJD","GJD","GEORGEJ DEVLIN",2019-12-13 00:00:00,"Riffle",200,"Spring"
2,"8-PLT002.82","PLT12036",1,2019-04-08 10:00:00,"Sampled below old mill dam.","BRETT STERN","BDS","BS","BRETT STERN",2019-12-02 00:00:00,"Riffle",200,"Spring"
2,"4ACRR011.77","CRR12816",1,2019-09-04 12:40:00,NA,"KELLYJ HAZLEGROVE","Hazlegrove","KJW","KELLYJ HAZLEGROVE",2020-06-01 00:00:00,"Riffle",200,"Fall"
2,"1ACON002.88","CON1731",1,2004-02-20 10:00:00,NA,"WILLIAMG SHANABRUCH","WS","WGS","WILLIAMG SHANABRUCH",2011-08-18 00:00:00,"MACS",200,"Spring"
2,"6BMIA000.36","MIA10059",1,2017-10-02 11:15:00,NA,"LANNYL SPARKS","LLS","MLH","MIKEL HUTCHISON",2018-01-22 00:00:00,"Riffle",200,"Fall"
2,"3-RUL000.39","RUL12041",1,2019-04-08 11:15:00,"Large sediment bars present mid channel. Old water wheel structure along right bank.","BRETT STERN","BDS","GJD","GEORGEJ DEVLIN",2019-12-03 00:00:00,"Riffle",200,"Spring"
1,"2-HRP000.42","HRP664",1,2010-03-08 11:40:00,NA,"KELLYJ HAZLEGROVE","Hazlegrove","KJW","KELLYJ HAZLEGROVE",2020-07-30 17:19:54,"MACS",200,"Spring"
1,"2BBYR000.08","BYR2271",1,2011-11-07 11:40:00,NA,"WARRENH SMIGO","WHS WGS","WHS","WARRENH SMIGO",2012-02-24 00:00:00,"MACS",200,"Fall"
1,"3-BMS002.00","BMS1140",1,2010-03-16 11:40:00,NA,"WILLIAMG SHANABRUCH","WHS, WGS","WGS","WILLIAMG SHANABRUCH",2020-07-30 17:19:54,"MACS",200,"Spring"
1,"7-XCY000.46","XCY1142",1,2010-03-16 13:10:00,NA,"WILLIAMG SHANABRUCH","WHS, WGS","WGS","WILLIAMG SHANABRUCH",2020-07-30 17:19:54,"MACS",200,"Spring"
1,"6ABLC002.30","BLC1455",1,2010-11-08 12:05:00,NA,"LANNYL SPARKS","LLS","LLS","LANNYL SPARKS",2011-04-11 00:00:00,"Riffle",200,"Fall"
1,"5ANTW098.82","NTW1648",1,2010-11-15 13:00:00,"Composite sample from transects using non-wadeable river method","WILLIAMG SHANABRUCH","WHS WGS","WHS","WARRENH SMIGO",2011-07-22 00:00:00,"Boatable",200,"Fall"
1,"3-PIY000.01","PIY1776",1,2011-05-03 12:15:00,"High flows all spring season; dense clusters of Simuliidae","GREGW BROWN","WGB/JMC","WGB","GREGW BROWN",2011-08-30 00:00:00,"Riffle",200,"Spring"
1,"3-HAZ042.43","HAZ1772",1,2011-05-03 14:45:00,"High flows all spring season","GREGW BROWN","WGB/JMC","WGB","GREGW BROWN",2011-08-29 00:00:00,"Riffle",200,"Spring"
1,"2-SFT019.15","SFT1508",1,2010-11-10 11:00:00,NA,"WILLIAMG SHANABRUCH","WHS, WGS","WGS","WILLIAMG SHANABRUCH",2011-06-22 00:00:00,"MACS",200,"Fall"
1,"2-SFT025.32","SFT1503",1,2010-11-10 12:30:00,NA,"WILLIAMG SHANABRUCH","WHS WGS","WHS","WARRENH SMIGO",2011-06-21 00:00:00,"MACS",200,"Fall"
1,"4ASUT000.89","SUT1407",1,2010-11-08 13:20:00,NA,"MIKEJ SHAVER","MJS","MSJ","MIKEJ SHAVER",2011-03-10 00:00:00,"Riffle",200,"Fall"
1,"6CSFH082.78","SFH1456",1,2010-11-03 11:35:00,NA,"LANNYL SPARKS","REC","LLS","LANNYL SPARKS",2011-04-11 00:00:00,"Riffle",200,"Fall"
1,"5ACNY001.08","CNY1123",1,2010-04-20 11:40:00,NA,"WARRENH SMIGO","WHS WGS","WHS","WARRENH SMIGO",2020-07-30 17:19:54,"MACS",200,"Spring"
1,"6BNFC022.47","NFC721",1,2009-06-04 10:50:00,NA,"WARRENH SMIGO","LLS","GJP","Greg Pond",2020-07-30 17:19:58,"Riffle",200,"Spring"
1,"4AXNA001.18","XNA1243",1,2010-06-02 10:00:00,NA,"GEORGEJ DEVLIN","GJD, RDM","GJD","GEORGEJ DEVLIN",2020-07-30 17:19:58,"Riffle",200,"Spring"
1,"5ACHS006.33","CHS665",1,2010-03-10 12:50:00,NA,"KELLYJ HAZLEGROVE","Hazlegrove","KJW","KELLYJ HAZLEGROVE",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"6CXEO000.25","XEO137R200",1,2009-10-22 09:35:00,NA,"LANNYL SPARKS","REC","LLS","LANNYL SPARKS",2010-06-29 00:00:00,"Riffle",200,"Fall"
1,"4AXVK001.44","XVK203R200",1,2009-03-25 11:00:00,NA,"KELLYJ HAZLEGROVE","mjs","MSJ","MIKEJ SHAVER",2010-06-29 00:00:00,"Riffle",200,"Spring"
1,"6BLTL007.84","LTL701",1,2009-06-03 12:45:00,NA,"LANNYL SPARKS","LLS","GJP","Greg Pond",2020-07-30 17:19:58,"Riffle",200,"Spring"
1,"6ASAT003.60","SAT1103",1,2010-04-22 11:45:00,"Raw sewage staright pipe discharges present  within reach.","LANNYL SPARKS","REC","REC","RAYMONDE CUMBO",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"4AXVN001.55","XVN1108",1,2010-04-12 12:30:00,NA,"KELLYJ HAZLEGROVE","mjs","MSJ","MIKEJ SHAVER",2020-07-30 17:19:58,"MACS",200,"Spring"
1,"5ACHS003.42","CHS610",1,2010-03-10 11:50:00,"White fluffy algae/fungus on all macroinvertebrates","KELLYJ HAZLEGROVE","Hazlegrove","KJW","KELLYJ HAZLEGROVE",2010-07-08 00:00:00,"Riffle",200,"Spring"
1,"6AFRY006.70","FRY144R200",1,2009-10-01 11:35:00,NA,"LANNYL SPARKS","REC","LLS","LANNYL SPARKS",2010-06-29 00:00:00,"Riffle",200,"Fall"
1,"2-JMS115.29","JMS1135",1,2010-05-05 14:20:00,NA,"WILLIAMG SHANABRUCH","WHS WGS","WHS","WARRENH SMIGO",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"4AIVV002.00","IVV1156",1,2010-04-26 11:30:00,NA,"GEORGEJ DEVLIN","GJD","GJD","GEORGEJ DEVLIN",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"8-SHC001.59","SHC1132",1,2010-03-31 12:00:00,NA,"WARRENH SMIGO","WHS WGS","WHS","WARRENH SMIGO",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"6BGSY000.25","GSY682",1,2009-06-03 15:10:00,NA,"LANNYL SPARKS","LLS","GJP","Greg Pond",2020-07-30 17:19:58,"Riffle",200,"Spring"
1,"5AGHB002.52","GHBTRO1A",1,2010-05-25 13:30:00,NA,"ANTONEG SILVIA","AGS, AJB","AGS","ANTONEG SILVIA",2020-07-30 17:19:54,"MACS",200,"Spring"
1,"1ACUB004.63","CUB128R200",1,2009-11-18 10:15:00,NA,"GREGW BROWN","WGB/JMC","WGB","GREGW BROWN",2010-06-29 00:00:00,"Riffle",200,"Fall"
1,"6BTMP006.26","TMP745",1,2009-06-03 10:45:00,NA,"LANNYL SPARKS","LLS","GJP","Greg Pond",2020-07-30 17:19:58,"Riffle",200,"Spring"
1,"6BIDN003.15","IDN697",1,2009-06-03 11:47:00,NA,"LANNYL SPARKS","LLS","GJP","Greg Pond",2020-07-30 17:19:58,"Riffle",200,"Spring"
1,"2-LIT002.40","LIT121R200",1,2009-10-05 13:20:00,NA,"KELLYJ HAZLEGROVE","Hazlegrove","KJW","KELLYJ HAZLEGROVE",2010-06-29 00:00:00,"Riffle",200,"Fall"
1,"2BBAA003.06","BAA613",1,2010-05-10 13:45:00,NA,"KELLYJ HAZLEGROVE","Hazlegrove","KJW","KELLYJ HAZLEGROVE",2010-07-08 00:00:00,"Riffle",200,"Spring"
1,"6BPAT000.13","PAT725",1,2009-06-04 11:40:00,NA,"WARRENH SMIGO","LLS","GJP","Greg Pond",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"3-HAZ042.43","HAZ689",1,2010-03-24 11:45:00,NA,"JEANNEM CLASSEN","WGB/JMC","WGB","GREGW BROWN",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"2-PMC000.59","PMC636",1,2010-03-30 11:30:00,NA,"GEORGEJ DEVLIN","RDM, GJD","GJD","GEORGEJ DEVLIN",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"5BXAT000.30","PBXATTRO1AR200",1,2009-05-14 09:45:00,NA,"ANTONEG SILVIA","AGS, WTH","AGS","ANTONEG SILVIA",2010-06-29 00:00:00,"MACS",200,"Spring"
1,"6BCOC001.19","COC673",1,2009-06-03 14:15:00,NA,"LANNYL SPARKS","LLS","GJP","Greg Pond",2020-07-30 17:19:58,"Riffle",200,"Spring"
1,"4AXVK001.44","XVK1110",1,2010-05-19 13:30:00,NA,"KELLYJ HAZLEGROVE","mjs","MSJ","MIKEJ SHAVER",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"6BCRC002.17","CRC1075",1,2010-06-02 12:30:00,NA,"LANNYL SPARKS","LLS","LLS","LANNYL SPARKS",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"9-FXC017.18","FXC136",1,2009-11-24 13:16:00,NA,"LANNYL SPARKS","LLS","LLS","LANNYL SPARKS",2010-05-03 00:00:00,"Riffle",200,"Fall"
1,"9-FXC017.18","FXC72R200",1,2009-06-09 14:30:00,NA,"LANNYL SPARKS","LLS","AJB","Amiee Budd",2010-06-29 00:00:00,"Riffle",200,"Spring"
1,"5ABMS000.80","PBBMSTRO1",1,2010-05-25 10:15:00,NA,"ANTONEG SILVIA","AGS, AJB","AGS","ANTONEG SILVIA",2020-07-30 17:19:54,"MACS",200,"Spring"
1,"8-SAR021.22","SAR1151",1,2010-06-17 12:00:00,NA,"WILLIAMG SHANABRUCH","WHS, WGS","WGS","WILLIAMG SHANABRUCH",2020-07-30 17:19:54,"Riffle",200,"Outside Sample Window"
1,"2-TYE028.94","TYE752",1,2010-04-12 10:00:00,NA,"WILLIAMJ VAN WART","bvw, rtt","RTT","ROBERT (TED)T TURNER",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"6APAW001.22","PAW140R200",1,2009-10-07 11:50:00,NA,"LANNYL SPARKS","REC","LLS","LANNYL SPARKS",2010-06-29 00:00:00,"Riffle",200,"Fall"
1,"2-BNF003.52","BNF728",1,2010-03-23 12:50:00,NA,"KELLYJ HAZLEGROVE","Hazlegrove","KJW","KELLYJ HAZLEGROVE",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"4AXVK001.44","XVK204R200",1,2009-11-30 10:30:00,NA,"KELLYJ HAZLEGROVE","mjs","MSJ","MIKEJ SHAVER",2010-06-29 00:00:00,"Riffle",200,"Fall"
1,"6CWLC000.79","WLC1074",1,2010-06-01 15:10:00,NA,"LANNYL SPARKS","LLS","LLS","LANNYL SPARKS",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"5ARDC001.51","RDC1124",1,2010-04-08 12:00:00,NA,"WARRENH SMIGO","WHS WGS","WHS","WARRENH SMIGO",2020-07-30 17:19:54,"MACS",200,"Spring"
1,"5AASM018.61","ASM1118",1,2010-04-07 11:30:00,NA,"WARRENH SMIGO","WHS, WGS","WGS","WILLIAMG SHANABRUCH",2020-07-30 17:19:54,"MACS",200,"Spring"
1,"2-BUF026.43","BUF704",1,2010-04-06 11:00:00,NA,"PAULAB NASH","Hazlegrove","KJW","KELLYJ HAZLEGROVE",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"6CXEO000.25","XEO87R200",1,2009-04-06 11:20:00,"Poor substrate.","LANNYL SPARKS","REC","AJB","Amiee Budd",2010-06-29 00:00:00,"Riffle",200,"Spring"
1,"6BDAK001.71","DAK677",1,2009-06-03 14:15:00,NA,"WILLIAMJ VAN WART","LLS","GJP","Greg Pond",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"2BXAC000.38","XAC614",1,2010-05-13 11:10:00,NA,"KELLYJ HAZLEGROVE","Hazlegrove","KJW","KELLYJ HAZLEGROVE",2010-07-08 00:00:00,"Riffle",200,"Spring"
1,"2-JKS076.16","JKS754",1,2010-05-12 11:00:00,NA,"WILLIAMJ VAN WART","bvw, rtt","BVW","WILLIAMJ VAN WART",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"2-RKI003.40","RKI618",1,2010-05-27 11:30:00,NA,"KELLYJ HAZLEGROVE","Hazlegrove","KJW","KELLYJ HAZLEGROVE",2010-07-08 00:00:00,"Riffle",200,"Spring"
1,"9-SFK003.38","SFK1077",1,2010-05-05 11:40:00,NA,"LANNYL SPARKS","REC","LLS","LANNYL SPARKS",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"2-CRG074.32","CRG635",1,2010-04-01 10:30:00,NA,"GEORGEJ DEVLIN","GJD, RDM","GJD","GEORGEJ DEVLIN",2020-07-30 17:19:58,"Riffle",200,"Spring"
1,"2DWDY005.35","WDY177R200",1,2009-10-27 10:50:00,NA,"WILLIAMG SHANABRUCH","WHS WGS","WHS","WARRENH SMIGO",2010-06-29 00:00:00,"MACS",200,"Fall"
1,"8-MAR008.23","MAR694",1,2010-06-15 12:00:00,NA,"JEANNEM CLASSEN","WGB/JMC","WGB","GREGW BROWN",2020-07-30 17:19:54,"MACS",200,"Spring"
1,"2DWDY005.35","WDY1120",1,2010-05-12 11:30:00,NA,"WILLIAMG SHANABRUCH","WHS, WGS","WGS","WILLIAMG SHANABRUCH",2020-07-30 17:19:54,"MACS",200,"Spring"
1,"8-NAR027.32","NAR1152",1,2010-04-14 11:20:00,NA,"WILLIAMG SHANABRUCH","WHS, WGS","WGS","WILLIAMG SHANABRUCH",2020-07-30 17:19:54,"MACS",200,"Spring"
1,"6CSGT000.39","SGT1078",1,2010-06-01 13:45:00,NA,"LANNYL SPARKS","LLS","LLS","LANNYL SPARKS",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"6AFRY006.70","FRY1083",1,2010-05-12 10:45:00,"Reach exposed to blackwater discharges during rain events from upstream mining operation.","LANNYL SPARKS","REC","LLS","LANNYL SPARKS",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"2-POL010.11","POL631",1,2010-04-26 10:35:00,NA,"KELLYJ HAZLEGROVE","Hazlegrove","KJW","KELLYJ HAZLEGROVE",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"6BPLC000.49","PLC733",1,2009-06-03 12:00:00,NA,"WILLIAMJ VAN WART","LLS","GJP","Greg Pond",2020-07-30 17:19:58,"Riffle",200,"Spring"
1,"4ASDE002.65","SDE1113",1,2010-04-05 11:20:00,NA,"KELLYJ HAZLEGROVE","mjs","MSJ","MIKEJ SHAVER",2020-07-30 17:19:54,"MACS",200,"Spring"
1,"1BBRY005.09","BRY761",1,2010-05-17 09:00:00,NA,"WILLIAMJ VAN WART","bvw","RTT","ROBERT (TED)T TURNER",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"6APAW001.22","PAW73R200",1,2009-04-20 11:45:00,NA,"LANNYL SPARKS","REC","AJB","Amiee Budd",2010-06-29 00:00:00,"Riffle",200,"Spring"
1,"2-POL019.63","POL730",1,2010-04-26 13:10:00,NA,"KELLYJ HAZLEGROVE","Hazlegrove","KJW","KELLYJ HAZLEGROVE",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"2-GIM002.52","GIM756",1,2010-05-03 10:00:00,NA,"ROBERT (TED)T TURNER","bvw, rtt","BVW","WILLIAMJ VAN WART",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"6CSFH099.18","SFH1107",1,2010-05-10 11:00:00,NA,"LANNYL SPARKS","REC","LLS","LANNYL SPARKS",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"1ACUB004.63","CUB706",1,2010-04-20 11:00:00,NA,"GREGW BROWN","WGB/JMC","WGB","GREGW BROWN",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"2DWDY005.35","WDY62R200",1,2009-04-07 10:50:00,NA,"WARRENH SMIGO","WHS, WGS","WGS","WILLIAMG SHANABRUCH",2010-06-29 00:00:00,"MACS",200,"Spring"
1,"5BXAT000.30","PBXATTRO3",1,2010-04-28 09:45:00,NA,"ANTONEG SILVIA","AGS, WTH","AGS","ANTONEG SILVIA",2020-07-30 17:19:54,"MACS",200,"Spring"
1,"2-EFK001.55","EFK1121",1,2010-05-24 12:15:00,NA,"WILLIAMG SHANABRUCH","WHS WGS","WHS","WARRENH SMIGO",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"9-SNC008.04","SNC1155",1,2010-04-28 14:00:00,NA,"GEORGEJ DEVLIN","GJD","GJD","GEORGEJ DEVLIN",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"2-SFT019.15","SFT1143",1,2010-04-15 11:00:00,NA,"WARRENH SMIGO","WHS, WGS","WGS","WILLIAMG SHANABRUCH",2020-07-30 17:19:54,"MACS",200,"Spring"
1,"2-CAT028.98","CAT638",1,2010-04-07 14:45:00,NA,"GEORGEJ DEVLIN","GJD, RDM","GJD","GEORGEJ DEVLIN",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"4AWLF001.20","WLF",1,2010-05-13 11:45:00,NA,"GEORGEJ DEVLIN","GJD, RDM","GJD","GEORGEJ DEVLIN",2020-07-30 17:19:58,"Riffle",200,"Spring"
1,"5ANTW098.82","NTW1153",1,2010-06-10 12:15:00,NA,"WARRENH SMIGO","WHS WGS","WHS","WARRENH SMIGO",2020-07-30 17:19:54,"MACS",200,"Spring"
1,"8-MHX000.27","MHX1115",1,2010-05-26 10:30:00,NA,"WILLIAMG SHANABRUCH","WHS, WGS","WGS","WILLIAMG SHANABRUCH",2020-07-30 17:19:54,"MACS",200,"Spring"
1,"7-RTT000.74","RTTTRO23",1,2010-05-13 11:45:00,NA,"ANTONEG SILVIA","AGS, CMR","AGS","ANTONEG SILVIA",2020-07-30 17:19:54,"MACS",200,"Spring"
1,"1AHOR005.48","HOR687",1,2010-04-15 13:15:00,NA,"GREGW BROWN","WGB/JMC","JMC","JEANNEM CLASSEN",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"2-RHC000.58","RHC1133",1,2010-04-27 11:00:00,NA,"WARRENH SMIGO","WHS WGS","WHS","WARRENH SMIGO",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"8-BRC001.88","BRC693",1,2010-04-07 13:15:00,NA,"JEANNEM CLASSEN","WGB/JMC","WGB","GREGW BROWN",2020-07-30 17:19:54,"Riffle",200,"Spring"
1,"4AMCH000.53","MCH50R200",1,2009-04-08 11:00:00,NA,"GEORGEJ DEVLIN","GJD, RDM","GJD","GEORGEJ DEVLIN",2010-06-29 00:00:00,"Riffle",200,"Spring"
1,"2-SFT025.32","SFT1144",1,2010-04-15 12:15:00,NA,"WARRENH SMIGO","WHS, WGS","WGS","WILLIAMG SHANABRUCH",2020-07-30 17:19:54,"MACS",200,"Spring"
