Sample,OTU,Count,Model_Jul04,OTU_CODE
00002CSR,Rhithrogena,1,N,B197
00002CSR,Rhyacophila,37,N,B199
00002CSR,Serratella,33,N,B200
00002CSR,Simulium,5,N,B204
00002CSR,Suwallia,1,N,B213
00002CSR,Sweltsa,11,N,B214
00002CSR,Tanypodinae,3,N,B217
00002CSR,Trombidiformes,10,N,B223
00002CSR,Visoka,1,N,B227
00002CSR,Wormaldia,16,N,B229
00002CSR,Zaitzevia,22,N,B231
00002JDE,Baetis,6,NT,B21
00002JDE,Ceratopogoninae,3,NT,B33
00002JDE,Chironominae,27,NT,B37
00002JDE,Clinocera,4,NT,B43
00002JDE,Dicranota,2,NT,B58
00002JDE,Dolophilodes,2,NT,B64
00002JDE,Ephemerella,15,NT,B78
00002JDE,Glutops,1,NT,B90
00002JDE,Isoperla,14,NT,B118
00002JDE,Lepidostoma,4,NT,B125
00002JDE,Nematoda,38,NT,B146
00002JDE,Oligochaeta,11,NT,B156
00002JDE,Oreogeton,2,NT,B161
00002JDE,Orthocladiinae,242,NT,B162
00002JDE,Prosimulium,4,NT,B183
00002JDE,Rhyacophila,7,NT,B199
00002JDE,Setvena,1,NT,B201
00002JDE,Sweltsa,3,NT,B214
00002JDE,Tanypodinae,12,NT,B217
00002JDE,Trombidiformes,25,NT,B223
00002JDE,Turbellaria,26,NT,B225
00002JDE,Visoka,6,NT,B227
00002JDE,Yoraperla,3,NT,B230
00002JDE,Zapada,24,NT,B232
00002REM,Acentrella,1,N,B1
00002REM,Agapetus,2,N,B3
00002REM,Ameletus,1,N,B6
00002REM,Ampumixis,2,N,B10
00002REM,Arctopsyche,3,N,B15
00002REM,Attenella,1,N,B20
00002REM,Baetis,189,N,B21
00002REM,Calineuria,8,N,B27
00002REM,Ceratopogoninae,2,N,B33
00002REM,Chelifera,3,N,B34
00002REM,Chironominae,40,N,B37
00002REM,Cinygmula,3,N,B40
00002REM,Dicranota,1,N,B58
00002REM,Diphetor_hageni,1,N,B59
00002REM,Drunella_doddsi,67,N,B67
00002REM,Drunella_grandis,1,N,B68
00002REM,Epeorus,15,N,B77
00002REM,Glossosoma,22,N,B89
00002REM,Gomphidae,2,N,B92
00002REM,Hesperoperla,12,N,B103
00002REM,Heterlimnius,4,N,B104
00002REM,Hydropsyche,2,N,B114
00002REM,Ironodes,1,N,B116
00002REM,Leptophlebiidae,1,N,B127
00002REM,Micrasema,3,N,B140
00002REM,Narpus,1,N,B145
00002REM,Nematoda,4,N,B146
00002REM,Neophylax,1,N,B149
00002REM,Oligochaeta,4,N,B156
00002REM,Optioservus,2,N,B159
00002REM,Orthocladiinae,14,N,B162
00002REM,Rhithrogena,85,N,B197
00002REM,Rhyacophila,22,N,B199
00002REM,Serratella,11,N,B200
00002REM,Simulium,96,N,B204
00002REM,Suwallia,1,N,B213
00002REM,Tanypodinae,3,N,B217
00002REM,Trombidiformes,3,N,B223
00002REM,Wormaldia,11,N,B229
00002REM,Zaitzevia,4,N,B231
00002REM,Zapada,2,N,B232
00002WSE,Acentrella,1,N,B1
00002WSE,Agapetus,12,N,B3
00002WSE,Ameletus,1,N,B6
00002WSE,Antocha,2,N,B13
00002WSE,Baetis,62,N,B21
00002WSE,Calineuria,5,N,B27
00002WSE,Capniidae,1,N,B30
00002WSE,Chelifera,6,N,B34
00002WSE,Chironominae,9,N,B37
00002WSE,Cinygmula,6,N,B40
00002WSE,Cryptolabis,1,N,B50
00002WSE,Diamesinae,1,N,B56
00002WSE,Dicranota,1,N,B58
00002WSE,Drunella_doddsi,5,N,B67
00002WSE,Epeorus,26,N,B77
00002WSE,Fluminicola,29,N,B86
00002WSE,Glossosoma,26,N,B89
00002WSE,Hexatoma,1,N,B106
00002WSE,Juga,4,N,B119
00002WSE,Malenka,3,N,B134
00002WSE,Nematoda,18,N,B146
00002WSE,Neophylax,3,N,B149
00002WSE,Nixe/Leucocruta,3,N,B152
00002WSE,Oligochaeta,16,N,B156
00002WSE,Optioservus,19,N,B159
00002WSE,Orthocladiinae,5,N,B162
00002WSE,Pteronarcys,1,N,B193
00002WSE,Pyralidae,1,N,B195
00002WSE,Rhyacophila,10,N,B199
00002WSE,Serratella,8,N,B200
00002WSE,Simulium,171,N,B204
00002WSE,Trombidiformes,7,N,B223
00002WSE,Wormaldia,3,N,B229
00002WSE,Zaitzevia,28,N,B231
00002WSE,Zapada,1,N,B232
00003CSR,Agapetus,17,NT,B3
00003CSR,Apatania,37,NT,B14
00003CSR,Arctopsyche,38,NT,B15
00003CSR,Baetis,1,NT,B21
00003CSR,Calineuria,24,NT,B27
00003CSR,Chelifera,1,NT,B34
00003CSR,Chironominae,20,NT,B37
00003CSR,Cinygma,44,NT,B39
00003CSR,Cinygmula,8,NT,B40
00003CSR,Despaxia,2,NT,B54
00003CSR,Dicranota,1,NT,B58
00003CSR,Diphetor_hageni,2,NT,B59
00003CSR,Dixa,1,NT,B61
00003CSR,Doroneuria,6,NT,B65
00003CSR,Epeorus,1,NT,B77
00003CSR,Forcipomyiinae,1,NT,B87
00003CSR,Glossosoma,17,NT,B89
00003CSR,Heterlimnius,1,NT,B104
00003CSR,Hexatoma,1,NT,B106
00003CSR,Ironodes,11,NT,B116
00003CSR,Isoperla,3,NT,B118
00003CSR,Juga,12,NT,B119
00003CSR,Lepidostoma,2,NT,B125
00003CSR,Leptophlebiidae,34,NT,B127
00003CSR,Malenka,83,NT,B134
00003CSR,Micrasema,4,NT,B140
00003CSR,Narpus,2,NT,B145
00003CSR,Neophylax,2,NT,B149
00003CSR,Optioservus,5,NT,B159
00003CSR,Orthocladiinae,9,NT,B162
00003CSR,Parapsyche,9,NT,B166
00003CSR,Pteronarcella,1,NT,B192
00003CSR,Rhyacophila,23,NT,B199
00003CSR,Sweltsa,23,NT,B214
00003CSR,Trombidiformes,3,NT,B223
00003CSR,Visoka,1,NT,B227
00003CSR,Yoraperla,4,NT,B230
00003CSR,Zaitzevia,9,NT,B231
00003JDE,Baetis,6,NT,B21
00003JDE,Caudatella,1,NT,B31
00003JDE,Ceratopogoninae,1,NT,B33
00003JDE,Chironominae,37,NT,B37
00003JDE,Cleptelmis,2,NT,B42
00003JDE,Diamesinae,2,NT,B56
00003JDE,Diphetor_hageni,1,NT,B59
00003JDE,Drunella_doddsi,1,NT,B67
00003JDE,Drunella_spinifera,2,NT,B70
00003JDE,Ephemerella,2,NT,B78
00003JDE,Hesperoperla,2,NT,B103
00003JDE,Heterlimnius,9,NT,B104
00003JDE,Ironodes,1,NT,B116
00003JDE,Leptophlebiidae,4,NT,B127
00003JDE,Malenka,1,NT,B134
00003JDE,Micrasema,20,NT,B140
00003JDE,Nematoda,4,NT,B146
00003JDE,Orthocladiinae,257,NT,B162
00003JDE,Pteronarcys,1,NT,B193
00003JDE,Rhyacophila,3,NT,B199
00003JDE,Serratella,4,NT,B200
00003JDE,Simulium,6,NT,B204
00003JDE,Sphaeriidae,5,NT,B209
00003JDE,Sweltsa,8,NT,B214
00003JDE,Taeniopterygidae,1,NT,B216
00003JDE,Trombidiformes,14,NT,B223
00003JDE,Turbellaria,1,NT,B225
00003JDE,Wormaldia,1,NT,B229
00003JDE,Yoraperla,15,NT,B230
00003JDE,Zapada,1,NT,B232
00003REM,Ameletus,4,N,B6
00003REM,Attenella,5,N,B20
00003REM,Baetis,31,N,B21
00003REM,Calineuria,3,N,B27
00003REM,Chironominae,3,N,B37
00003REM,Diphetor_hageni,13,N,B59
00003REM,Doroneuria,4,N,B65
00003REM,Drunella_coloradensis/flavilinea,11,N,B66
00003REM,Drunella_doddsi,13,N,B67
00003REM,Drunella_spinifera,1,N,B70
00003REM,Epeorus,32,N,B77
00003REM,Glossosoma,2,N,B89
00003REM,Heterlimnius,6,N,B104
00003REM,Hexatoma,1,N,B106
00003REM,Ironodes,6,N,B116
00003REM,Malenka,3,N,B134
00003REM,Megarcys,8,N,B137
00003REM,Micrasema,2,N,B140
00003REM,Neophylax,2,N,B149
00003REM,Oligochaeta,11,N,B156
00003REM,Orthocladiinae,23,N,B162
00003REM,Parapsyche,15,N,B166
00003REM,Pteronarcys,2,N,B193
00003REM,Rhithrogena,28,N,B197
00003REM,Rhyacophila,31,N,B199
00003REM,Serratella,1,N,B200
00003REM,Turbellaria,1,N,B225
00003REM,Visoka,8,N,B227
00003REM,Yoraperla,9,N,B230
00003REM,Zaitzevia,1,N,B231
00003REM,Zapada,1,N,B232
00003WSE,Allocosmoecus,1,N,B5
00003WSE,Amiocentrus,7,N,B8
00003WSE,Antocha,1,N,B13
00003WSE,Baetis,19,N,B21
00003WSE,Calineuria,19,N,B27
00003WSE,Ceratopogoninae,1,N,B33
00003WSE,Chironominae,126,N,B37
00003WSE,Cinygmula,8,N,B40
00003WSE,Dicranota,3,N,B58
00003WSE,Diphetor_hageni,6,N,B59
00003WSE,Dixa,3,N,B61
00003WSE,Drunella_doddsi,2,N,B67
00003WSE,Forcipomyiinae,9,N,B87
00003WSE,Glossosoma,16,N,B89
00003WSE,Gomphidae,3,N,B92
00003WSE,Hesperoperla,1,N,B103
00003WSE,Heterlimnius,1,N,B104
00003WSE,Hexatoma,1,N,B106
00003WSE,Hydropsyche,10,N,B114
00003WSE,Ironodes,3,N,B116
00003WSE,Juga,3,N,B119
00003WSE,Lepidostoma,5,N,B125
00003WSE,Malenka,33,N,B134
00003WSE,Micrasema,2,N,B140
00003WSE,Narpus,1,N,B145
00003WSE,Orthocladiinae,129,N,B162
00003WSE,Psychoglypha,1,N,B190
00003WSE,Rhithrogena,3,N,B197
00003WSE,Rhyacophila,18,N,B199
00003WSE,Simulium,3,N,B204
00003WSE,Sphaeriidae,1,N,B209
00003WSE,Sweltsa,3,N,B214
00003WSE,Tanypodinae,4,N,B217
00003WSE,Tipula,1,N,B220
00003WSE,Trombidiformes,13,N,B223
00003WSE,Wormaldia,2,N,B229
00003WSE,Yoraperla,1,N,B230
00003WSE,Zaitzevia,4,N,B231
00003WSE,Zapada,4,N,B232
00004CSR,Antocha,4,N,B13
00004CSR,Apatania,3,N,B14
00004CSR,Arctopsyche,11,N,B15
00004CSR,Baetis,60,N,B21
00004CSR,Calineuria,15,N,B27
00004CSR,Ceratopogoninae,2,N,B33
00004CSR,Chelifera,6,N,B34
00004CSR,Chironominae,86,N,B37
00004CSR,Cinygmula,1,N,B40
00004CSR,Clinocera,5,N,B43
00004CSR,Dicranota,8,N,B58
00004CSR,Dixa,5,N,B61
00004CSR,Epeorus,5,N,B77
00004CSR,Glossosoma,94,N,B89
00004CSR,Goeridae,2,N,B91
00004CSR,Hesperoperla,7,N,B103
00004CSR,Heterlimnius,10,N,B104
00004CSR,Ironodes,3,N,B116
00004CSR,Isoperla,1,N,B118
00004CSR,Juga,22,N,B119
00004CSR,Lara,1,N,B124
00004CSR,Leptophlebiidae,1,N,B127
00004CSR,Limnophila,1,N,B131
00004CSR,Malenka,4,N,B134
00004CSR,Maruina,11,N,B136
00004CSR,Micrasema,3,N,B140
00004CSR,Nematoda,5,N,B146
00004CSR,Neophylax,3,N,B149
00004CSR,Nixe/Leucocruta,3,N,B152
00004CSR,Oligochaeta,2,N,B156
00004CSR,Optioservus,82,N,B159
00004CSR,Orthocladiinae,26,N,B162
00004CSR,Parapsyche,1,N,B166
00004CSR,Rhithrogena,19,N,B197
00004CSR,Rhyacophila,51,N,B199
00004CSR,Serratella,5,N,B200
00004CSR,Simulium,5,N,B204
00004CSR,Sphaeriidae,1,N,B209
00004CSR,Sweltsa,12,N,B214
00004CSR,Timpanoga_hecuba,1,N,B219
00004CSR,Trombidiformes,8,N,B223
00004CSR,Wormaldia,17,N,B229
00004CSR,Yoraperla,4,N,B230
00004CSR,Zaitzevia,17,N,B231
00004JDE,Amiocentrus,19,N,B8
00004JDE,Anagapetus,5,N,B12
00004JDE,Antocha,1,N,B13
00004JDE,Baetis,31,N,B21
00004JDE,Calineuria,1,N,B27
00004JDE,Caudatella,9,N,B31
00004JDE,Ceratopogoninae,1,N,B33
00004JDE,Chelifera,2,N,B34
00004JDE,Chironominae,33,N,B37
00004JDE,Claassenia,1,N,B41
00004JDE,Despaxia,1,N,B54
00004JDE,Diamesinae,8,N,B56
00004JDE,Diphetor_hageni,1,N,B59
00004JDE,Dolophilodes,4,N,B64
00004JDE,Doroneuria,5,N,B65
00004JDE,Epeorus,2,N,B77
00004JDE,Glossosoma,3,N,B89
00004JDE,Hesperoperla,2,N,B103
00004JDE,Heterlimnius,23,N,B104
00004JDE,Hydropsyche,11,N,B114
00004JDE,Ironodes,3,N,B116
00004JDE,Lara,1,N,B124
00004JDE,Leptophlebiidae,5,N,B127
00004JDE,Malenka,2,N,B134
00004JDE,Micrasema,39,N,B140
00004JDE,Narpus,10,N,B145
00004JDE,Nematoda,14,N,B146
00004JDE,Oligochaeta,3,N,B156
00004JDE,Orthocladiinae,65,N,B162
00004JDE,Pericoma/Telmatoscopus,2,N,B169
00004JDE,Rhithrogena,7,N,B197
00004JDE,Rhyacophila,64,N,B199
00004JDE,Serratella,2,N,B200
00004JDE,Simulium,61,N,B204
00004JDE,Skwala,20,N,B205
00004JDE,Sweltsa,2,N,B214
00004JDE,Tanypodinae,1,N,B217
00004JDE,Tipula,1,N,B220
00004JDE,Trombidiformes,7,N,B223
00004JDE,Turbellaria,4,N,B225
00004JDE,Visoka,4,N,B227
00004JDE,Zaitzevia,36,N,B231
00004JDE,Zapada,13,N,B232
00004REM,Baetis,16,N,B21
00004REM,Calineuria,1,N,B27
00004REM,Ceratopogoninae,1,N,B33
00004REM,Chelifera,1,N,B34
00004REM,Chironominae,2,N,B37
00004REM,Cinygmula,2,N,B40
00004REM,Despaxia,1,N,B54
00004REM,Doroneuria,9,N,B65
00004REM,Drunella_doddsi,1,N,B67
00004REM,Forcipomyiinae,1,N,B87
00004REM,Glossosoma,1,N,B89
00004REM,Kathroperla,1,N,B120
00004REM,Lepidostoma,1,N,B125
00004REM,Malenka,3,N,B134
00004REM,Megarcys,2,N,B137
00004REM,Meringodixa,1,N,B138
00004REM,Neophylax,4,N,B149
00004REM,Orthocladiinae,19,N,B162
00004REM,Rhithrogena,6,N,B197
00004REM,Rhyacophila,6,N,B199
00004REM,Soliperla,6,N,B206
00004REM,Soyedina,8,N,B207
00004REM,Sweltsa,4,N,B214
00004REM,Tanypodinae,1,N,B217
00004REM,Thaumaleidae,1,N,B218
00004REM,Turbellaria,1,N,B225
00004REM,Yoraperla,4,N,B230
00004WSE,Ameletus,8,N,B6
00004WSE,Ametor,1,N,B7
00004WSE,Amphizoa,1,N,B9
00004WSE,Apatania,1,N,B14
00004WSE,Capniidae,2,N,B30
00004WSE,Chelifera,1,N,B34
00004WSE,Chironominae,13,N,B37
00004WSE,Cinygma,14,N,B39
00004WSE,Cleptelmis,7,N,B42
00004WSE,Cryptochia,2,N,B49
00004WSE,Dicosmoecus,9,N,B57
00004WSE,Diphetor_hageni,4,N,B59
00004WSE,Dixa,1,N,B61
00004WSE,Dolophilodes,1,N,B64
00004WSE,Doroneuria,25,N,B65
00004WSE,Drunella_spinifera,14,N,B70
00004WSE,Dytiscidae,1,N,B72
00004WSE,Forcipomyiinae,1,N,B87
00004WSE,Glutops,5,N,B90
00004WSE,Heterlimnius,150,N,B104
00004WSE,Hydraenidae,8,N,B111
00004WSE,Hydropsyche,1,N,B114
00004WSE,Lara,1,N,B124
00004WSE,Leptophlebiidae,25,N,B127
00004WSE,Malenka,4,N,B134
00004WSE,Micrasema,8,N,B140
00004WSE,Moselia,5,N,B143
00004WSE,Nematoda,1,N,B146
00004WSE,Neophylax,1,N,B149
00004WSE,Oligochaeta,3,N,B156
00004WSE,Optioservus,1,N,B159
00004WSE,Orthocladiinae,14,N,B162
00004WSE,Paraperla,1,N,B165
00004WSE,Parapsyche,1,N,B166
00004WSE,Pericoma/Telmatoscopus,31,N,B169
00004WSE,Rhyacophila,10,N,B199
00004WSE,Sialis,4,N,B202
00004WSE,Simulium,1,N,B204
00004WSE,Sphaeriidae,16,N,B209
00004WSE,Sweltsa,5,N,B214
00004WSE,Tanypodinae,16,N,B217
00004WSE,Trombidiformes,25,N,B223
00004WSE,Visoka,33,N,B227
00004WSE,Yoraperla,16,N,B230
00004WSE,Zapada,29,N,B232
00005CSR,Ameletus,1,N,B6
00005CSR,Baetis,72,N,B21
00005CSR,Calineuria,15,N,B27
00005CSR,Ceratopogoninae,2,N,B33
00005CSR,Chelifera,1,N,B34
00005CSR,Chironominae,34,N,B37
00005CSR,Cinygma,11,N,B39
00005CSR,Cinygmula,9,N,B40
00005CSR,Clinocera,2,N,B43
00005CSR,Despaxia,1,N,B54
00005CSR,Dicranota,4,N,B58
00005CSR,Diphetor_hageni,18,N,B59
00005CSR,Drunella_coloradensis/flavilinea,1,N,B66
00005CSR,Drunella_doddsi,16,N,B67
00005CSR,Epeorus,20,N,B77
00005CSR,Glossosoma,31,N,B89
00005CSR,Glutops,2,N,B90
00005CSR,Gomphidae,4,N,B92
00005CSR,Hesperoperla,1,N,B103
00005CSR,Heterlimnius,19,N,B104
00005CSR,Heteroplectron,1,N,B105
00005CSR,Hexatoma,3,N,B106
00005CSR,Hydropsyche,1,N,B114
00005CSR,Ironodes,4,N,B116
00005CSR,Juga,3,N,B119
00005CSR,Leptophlebiidae,16,N,B127
00005CSR,Malenka,90,N,B134
00005CSR,Micrasema,2,N,B140
00005CSR,Nematoda,2,N,B146
00005CSR,Neophylax,24,N,B149
00005CSR,Oligochaeta,19,N,B156
00005CSR,Optioservus,15,N,B159
00005CSR,Orthocladiinae,38,N,B162
00005CSR,Rhithrogena,21,N,B197
00005CSR,Rhyacophila,14,N,B199
00005CSR,Simulium,4,N,B204
00005CSR,Sphaeriidae,3,N,B209
00005CSR,Sweltsa,16,N,B214
00005CSR,Tanypodinae,4,N,B217
00005CSR,Trombidiformes,1,N,B223
00005CSR,Wormaldia,9,N,B229
00005CSR,Zaitzevia,10,N,B231
00005CSR,Zapada,38,N,B232
00005REM,Ameletus,1,N,B6
00005REM,Apatania,1,N,B14
00005REM,Attenella,1,N,B20
00005REM,Baetis,70,N,B21
00005REM,Calineuria,3,N,B27
00005REM,Capniidae,3,N,B30
00005REM,Ceratopogoninae,1,N,B33
00005REM,Chironominae,366,N,B37
00005REM,Clinocera,5,N,B43
00005REM,Diamesinae,1,N,B56
00005REM,Dicosmoecus,1,N,B57
00005REM,Dicranota,4,N,B58
00005REM,Drunella_coloradensis/flavilinea,5,N,B66
00005REM,Drunella_doddsi,22,N,B67
00005REM,Drunella_grandis,1,N,B68
00005REM,Dytiscidae,1,N,B72
00005REM,Ecclisomyia,2,N,B74
00005REM,Epeorus,2,N,B77
00005REM,Glossosoma,9,N,B89
00005REM,Hesperoconopa,7,N,B102
00005REM,Heterlimnius,9,N,B104
00005REM,Hexatoma,4,N,B106
00005REM,Lara,2,N,B124
00005REM,Leptophlebiidae,1,N,B127
00005REM,Limnophila,1,N,B131
00005REM,Narpus,1,N,B145
00005REM,Orthocladiinae,7,N,B162
00005REM,Prodiamesinae,10,N,B182
00005REM,Psychoglypha,1,N,B190
00005REM,Rhithrogena,4,N,B197
00005REM,Rhyacophila,23,N,B199
00005REM,Serratella,6,N,B200
00005REM,Soliperla,2,N,B206
00005REM,Sweltsa,2,N,B214
00005REM,Tanypodinae,23,N,B217
00005REM,Trombidiformes,2,N,B223
00005REM,Zaitzevia,1,N,B231
00005REM,Zapada,1,N,B232
00006CSR,Ameletus,5,NT,B6
00006CSR,Baetis,34,NT,B21
00006CSR,Calineuria,6,NT,B27
00006CSR,Chelifera,1,NT,B34
00006CSR,Chironominae,14,NT,B37
00006CSR,Cinygma,6,NT,B39
00006CSR,Clinocera,1,NT,B43
00006CSR,Despaxia,8,NT,B54
00006CSR,Diamesinae,11,NT,B56
00006CSR,Dicranota,2,NT,B58
00006CSR,Diphetor_hageni,20,NT,B59
00006CSR,Drunella_coloradensis/flavilinea,16,NT,B66
00006CSR,Drunella_doddsi,8,NT,B67
00006CSR,Epeorus,104,NT,B77
00006CSR,Ephemerella,33,NT,B78
00006CSR,Glossosoma,7,NT,B89
00006CSR,Heterlimnius,2,NT,B104
00006CSR,Ironodes,8,NT,B116
00006CSR,Lara,2,NT,B124
00006CSR,Lepidostoma,1,NT,B125
00006CSR,Leptophlebiidae,12,NT,B127
00006CSR,Malenka,21,NT,B134
00006CSR,Megarcys,6,NT,B137
00006CSR,Moselia,4,NT,B143
00006CSR,Neophylax,44,NT,B149
00006CSR,Oligochaeta,17,NT,B156
00006CSR,Orthocladiinae,14,NT,B162
00006CSR,Parapsyche,7,NT,B166
00006CSR,Rhithrogena,32,NT,B197
00006CSR,Rhyacophila,37,NT,B199
00006CSR,Serratella,1,NT,B200
00006CSR,Simulium,1,NT,B204
00006CSR,Soliperla,2,NT,B206
00006CSR,Sweltsa,13,NT,B214
00006CSR,Visoka,11,NT,B227
00006CSR,Wormaldia,4,NT,B229
00006CSR,Yoraperla,22,NT,B230
00006CSR,Zaitzevia,1,NT,B231
00006CSR,Zapada,11,NT,B232
00006JDE,Agapetus,3,N,B3
00006JDE,Ameletus,1,N,B6
00006JDE,Amiocentrus,2,N,B8
00006JDE,Baetis,11,N,B21
00006JDE,Chironominae,14,N,B37
00006JDE,Cleptelmis,18,N,B42
00006JDE,Diamesinae,1,N,B56
00006JDE,Dicranota,1,N,B58
00006JDE,Diphetor_hageni,1,N,B59
00006JDE,Dixa,1,N,B61
00006JDE,Glossosoma,1,N,B89
00006JDE,Glutops,2,N,B90
00006JDE,Hesperoperla,2,N,B103
00006JDE,Heterlimnius,11,N,B104
00006JDE,Ironodes,3,N,B116
00006JDE,Lara,1,N,B124
00006JDE,Leptophlebiidae,1,N,B127
00006JDE,Micrasema,7,N,B140
00006JDE,Narpus,3,N,B145
00006JDE,Nematoda,8,N,B146
00006JDE,Oligochaeta,3,N,B156
00006JDE,Orthocladiinae,263,N,B162
00006JDE,Parapsyche,7,N,B166
00006JDE,Pericoma/Telmatoscopus,4,N,B169
00006JDE,Pristinicola,3,N,B180
00006JDE,Rhyacophila,2,N,B199
00006JDE,Serratella,4,N,B200
00006JDE,Skwala,4,N,B205
00006JDE,Sphaeriidae,1,N,B209
00006JDE,Sweltsa,3,N,B214
00006JDE,Trombidiformes,2,N,B223
00006JDE,Visoka,1,N,B227
00006JDE,Wormaldia,5,N,B229
00006JDE,Yoraperla,22,N,B230
00006JDE,Zaitzevia,3,N,B231
00006JDE,Zapada,7,N,B232
00006REM,Acentrella,32,N,B1
00006REM,Antocha,1,N,B13
00006REM,Baetis,48,N,B21
00006REM,Calineuria,25,N,B27
00006REM,Capniidae,1,N,B30
00006REM,Chelifera,5,N,B34
00006REM,Chironominae,297,N,B37
00006REM,Cinygmula,2,N,B40
00006REM,Diamesinae,5,N,B56
